task,llm,Fully Correct,Scaling Errors,Partially Correct,Shape Errors,Runtime Errors
Circle,GPT-4o,1,,,,
Circle,o1-preview,4,1,,,
Circle,Claude-3.5-Sonnet,1,,,,
Circle,Llama-3.1-70B,1,,,,
Circle,Llama-3.1-405B,1,,,,
Donut,GPT-4o,,1,,,
Donut,o1-preview,,4,,,1
Donut,Claude-3.5-Sonnet,1,,,,
Donut,Llama-3.1-70B,,,,,1
Donut,Llama-3.1-405B,,1,,,
Oval,GPT-4o,,1,,,
Oval,o1-preview,4,,,,1
Oval,Claude-3.5-Sonnet,1,,,,
Oval,Llama-3.1-70B,1,,,,
Oval,Llama-3.1-405B,1,,,,
Square,GPT-4o,1,,,,
Square,o1-preview,4,1,,,
Square,Claude-3.5-Sonnet,1,,,,
Square,Llama-3.1-70B,1,,,,
Square,Llama-3.1-405B,1,,,,
Triangle,GPT-4o,1,,,,
Triangle,o1-preview,3,,,,2
Triangle,Claude-3.5-Sonnet,,,,1,
Triangle,Llama-3.1-70B,1,,,,
Triangle,Llama-3.1-405B,1,,,,
Grid,GPT-4o,1,,,,
Grid,o1-preview,3,2,,,
Grid,Claude-3.5-Sonnet,1,,,,
Grid,Llama-3.1-70B,1,,,,
Grid,Llama-3.1-405B,1,,,,
Hexagon,GPT-4o,,1,,,
Hexagon,o1-preview,3,2,,,
Hexagon,Claude-3.5-Sonnet,1,,,,
Hexagon,Llama-3.1-70B,,,,,1
Hexagon,Llama-3.1-405B,,1,,,
Pentagon,GPT-4o,1,1,,,
Pentagon,o1-preview,2,3,,,
Pentagon,Claude-3.5-Sonnet,1,,,,
Pentagon,Llama-3.1-70B,1,,,,
Pentagon,Llama-3.1-405B,1,,,,
Heptagon,GPT-4o,,1,,,
Heptagon,o1-preview,4,1,,,
Heptagon,Claude-3.5-Sonnet,1,,,,
Heptagon,Llama-3.1-70B,,1,,,
Heptagon,Llama-3.1-405B,,1,,,
Octagon,GPT-4o,,1,,,
Octagon,o1-preview,3,1,,1,
Octagon,Claude-3.5-Sonnet,,1,,,
Octagon,Llama-3.1-70B,,,,1,
Octagon,Llama-3.1-405B,,1,,,
Trapezoid,GPT-4o,1,,,,
Trapezoid,o1-preview,4,,,,1
Trapezoid,Claude-3.5-Sonnet,1,,,,
Trapezoid,Llama-3.1-70B,,1,,,
Trapezoid,Llama-3.1-405B,1,,,,
Text,GPT-4o,1,,,,
Text,o1-preview,4,,,,1
Text,Claude-3.5-Sonnet,1,,,,
Text,Llama-3.1-70B,1,,,,
Text,Llama-3.1-405B,1,,,,
Arrow,GPT-4o,1,,,,
Arrow,o1-preview,5,,,,
Arrow,Claude-3.5-Sonnet,1,,,,
Arrow,Llama-3.1-70B,,,,1,
Arrow,Llama-3.1-405B,1,,,,
SquareArray,GPT-4o,1,,,,
SquareArray,o1-preview,4,1,,,
SquareArray,Claude-3.5-Sonnet,1,,,,
SquareArray,Llama-3.1-70B,1,,,,
SquareArray,Llama-3.1-405B,1,,,,
Serpentine,GPT-4o,1,,,,
Serpentine,o1-preview,5,,,,
Serpentine,Claude-3.5-Sonnet,,,,,1
Serpentine,Llama-3.1-70B,1,,,,
Serpentine,Llama-3.1-405B,1,,,,
RoundedSquare,GPT-4o,,,,,1
RoundedSquare,o1-preview,3,1,,,1
RoundedSquare,Claude-3.5-Sonnet,,,,1,
RoundedSquare,Llama-3.1-70B,,,,1,
RoundedSquare,Llama-3.1-405B,,,1,,
BasicLayout,GPT-4o,1,,,,
BasicLayout,o1-preview,5,,,,
BasicLayout,Claude-3.5-Sonnet,1,,,,
BasicLayout,Llama-3.1-70B,1,,,,
BasicLayout,Llama-3.1-405B,1,,,,
Spiral,GPT-4o,1,,,,
Spiral,o1-preview,1,,1,1,2
Spiral,Claude-3.5-Sonnet,1,,,,
Spiral,Llama-3.1-70B,1,,,,
Spiral,Llama-3.1-405B,1,,,,
MicrofluidicChip,GPT-4o,1,,,,
MicrofluidicChip,o1-preview,3,2,,,
MicrofluidicChip,Claude-3.5-Sonnet,1,,,,
MicrofluidicChip,Llama-3.1-70B,1,,,,
MicrofluidicChip,Llama-3.1-405B,1,,,,
ViaConnection,GPT-4o,1,,,,
ViaConnection,o1-preview,3,,1,1,
ViaConnection,Claude-3.5-Sonnet,1,,,,
ViaConnection,Llama-3.1-70B,1,,,,
ViaConnection,Llama-3.1-405B,1,,,,
FiducialCircle,GPT-4o,1,,,,
FiducialCircle,o1-preview,3,,1,,1
FiducialCircle,Claude-3.5-Sonnet,1,,,,
FiducialCircle,Llama-3.1-70B,,,,1,
FiducialCircle,Llama-3.1-405B,,,1,,
ComplexLayout,GPT-4o,,,1,,
ComplexLayout,o1-preview,4,,,1,
ComplexLayout,Claude-3.5-Sonnet,,,1,,
ComplexLayout,Llama-3.1-70B,,,,,1
ComplexLayout,Llama-3.1-405B,1,,,,
DLDChip,GPT-4o,,,,,1
DLDChip,o1-preview,5,,,,
DLDChip,Claude-3.5-Sonnet,1,,,,
DLDChip,Llama-3.1-70B,,,,1,
DLDChip,Llama-3.1-405B,,,1,,
FinFET,GPT-4o,1,,,,
FinFET,o1-preview,2,,1,2,
FinFET,Claude-3.5-Sonnet,1,,,,
FinFET,Llama-3.1-70B,,,,1,
FinFET,Llama-3.1-405B,,,,1,
RectangleWithText,GPT-4o,,,,,1
RectangleWithText,o1-preview,3,,,,2
RectangleWithText,Claude-3.5-Sonnet,1,,,,
RectangleWithText,Llama-3.1-70B,1,,,,
RectangleWithText,Llama-3.1-405B,1,,,,
